Date,Adj_Close,signal
2014-02-14,159.9397851780858,BUY
2014-04-14,159.70526480691277,SELL
2014-04-28,163.14485820133635,BUY
2014-08-01,168.85443928933452,SELL
2014-08-21,174.99460071803762,BUY
2014-09-25,173.028681605434,SELL
2014-10-30,175.70775240127253,BUY
2014-12-15,175.82230877684609,SELL
2014-12-30,183.9572712793395,BUY
2015-01-13,179.0659184665123,SELL
2015-02-04,180.82042063788512,BUY
2015-03-12,183.51421428039282,SELL
2015-04-10,186.9428993136266,BUY
2015-05-12,186.8894998968302,SELL
2015-05-14,188.8742872503571,BUY
2015-06-08,185.55444772431161,SELL
2015-06-24,188.26770930028758,BUY
2015-07-02,185.41462441096056,SELL
2015-07-20,190.13696706450023,BUY
2015-08-07,185.98702890352337,SELL
2015-08-10,188.33032240016874,BUY
2015-08-12,186.85458171249718,SELL
2015-09-23,174.06778802378227,BUY
2015-09-29,169.1406528814621,SELL
2015-10-09,181.01790818624076,BUY
2015-11-19,187.50948651604463,SELL
2015-11-30,187.63536107957918,BUY
2015-12-11,181.51242162967756,SELL
2016-02-23,173.96469933295833,BUY
2016-05-06,187.0417915768446,SELL
2016-05-31,190.78771439592745,BUY
2016-06-23,192.6705376808801,SELL
2016-07-12,196.45430429961658,BUY
2016-09-07,200.16495372357463,SELL
2016-10-03,198.21301949132,BUY
2016-10-14,195.76957048241073,SELL
2016-11-15,200.50949067041338,BUY
2017-03-24,217.03153466767523,SELL
2017-04-26,221.24483169990478,BUY
2017-07-05,226.39893983115277,SELL
2017-07-17,228.97281699078007,BUY
2017-08-16,230.28773440191924,SELL
2017-09-07,230.2224548141322,BUY
2018-02-08,242.67142205515765,SELL
2018-03-05,256.38603566818057,BUY
2018-03-23,244.0392863238386,SELL
2018-04-19,254.29073318975765,BUY
2018-05-04,251.57655860440823,SELL
2018-05-09,254.86761350232322,BUY
2018-06-28,257.33396071243715,SELL
2018-07-13,265.598590112556,BUY
2018-10-10,265.57101372660617,SELL
2018-11-12,260.10309454351795,BUY
2018-11-21,252.89841918011197,SELL
2019-01-14,247.0917270457996,BUY
2019-05-13,270.7940321234962,SELL
2019-06-13,279.2015090163143,BUY
2019-08-05,274.9804442570354,SELL
2019-09-04,284.8143231563692,BUY
2019-10-03,282.68009058287896,SELL
2019-10-21,291.99504295144226,BUY
2020-02-27,290.99866052592694,SELL
2020-04-08,269.67911928370705,BUY
2020-06-29,300.9522696082807,SELL
2020-07-10,313.93099686295034,BUY
2020-09-16,334.9164027743469,SELL
2020-10-08,341.1955952191818,BUY
2020-10-29,327.49933826989826,SELL
2020-11-12,350.5547041345256,BUY
2021-03-04,375.4681794059691,SELL
2021-03-17,395.9609475731757,BUY
2021-05-17,415.52,SELL
